2010-09-16 14:29:15 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:41:46 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\auth_controller.php, line 25]
2010-09-16 14:43:13 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\auth_controller.php, line 25]
2010-09-16 14:44:10 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\auth_controller.php, line 25]
2010-09-16 14:44:13 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\auth_controller.php, line 25]
2010-09-16 15:09:11 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-16 15:19:39 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-16 15:20:09 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-16 15:20:10 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 13:17:04 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 14:26:02 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 14:26:46 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 14:27:00 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 14:27:01 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 14:39:53 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 14:41:32 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 14:49:46 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 14:50:55 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 14:51:33 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 14:51:35 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 14:51:36 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 14:53:21 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 14:55:01 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 15:02:14 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 15:02:17 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-19 15:03:09 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
